Fecha,Hora,Precio_COP_kWh
2024-01-01,1,251.91
2024-01-01,2,251.91
2024-01-01,3,251.91
2024-01-01,4,281.91
2024-01-01,5,281.91
2024-01-01,6,251.91
2024-01-01,7,152.91
2024-01-01,8,95.85
2024-01-01,9,95.85
2024-01-01,10,95.85
2024-01-01,11,95.85
2024-01-01,12,152.91
2024-01-01,13,152.91
2024-01-01,14,152.91
2024-01-01,15,152.91
2024-01-01,16,251.91
2024-01-01,17,281.91
2024-01-01,18,281.91
2024-01-01,19,301.23
2024-01-01,20,301.23
2024-01-01,21,301.23
2024-01-01,22,301.23
2024-01-01,23,301.23
2024-01-01,24,290.91
2024-01-02,1,360.22
2024-01-02,2,360.22
2024-01-02,3,309.82
2024-01-02,4,284.32
2024-01-02,5,309.82
2024-01-02,6,317.32
2024-01-02,7,317.32
2024-01-02,8,360.22
2024-01-02,9,379.32
2024-01-02,10,317.32
2024-01-02,11,360.22
2024-01-02,12,379.32
2024-01-02,13,419.32
2024-01-02,14,419.32
2024-01-02,15,419.32
2024-01-02,16,419.32
2024-01-02,17,419.32
2024-01-02,18,419.32
2024-01-02,19,449.32
2024-01-02,20,449.32
2024-01-02,21,449.32
2024-01-02,22,449.32
2024-01-02,23,419.32
2024-01-02,24,419.32
2024-01-03,1,429.49
2024-01-03,2,429.49
2024-01-03,3,429.49
2024-01-03,4,429.49
2024-01-03,5,429.49
2024-01-03,6,429.49
2024-01-03,7,429.49
2024-01-03,8,429.49
2024-01-03,9,429.49
2024-01-03,10,429.49
2024-01-03,11,429.49
2024-01-03,12,430.49
2024-01-03,13,430.49
2024-01-03,14,430.49
2024-01-03,15,504.49
2024-01-03,16,504.49
2024-01-03,17,504.49
2024-01-03,18,509.49
2024-01-03,19,509.49
2024-01-03,20,514.49
2024-01-03,21,509.49
2024-01-03,22,509.49
2024-01-03,23,504.49
2024-01-03,24,504.49
2024-01-04,1,519.95
2024-01-04,2,519.95
2024-01-04,3,519.95
2024-01-04,4,448.95
2024-01-04,5,448.95
2024-01-04,6,519.95
2024-01-04,7,519.95
2024-01-04,8,519.95
2024-01-04,9,519.95
2024-01-04,10,519.95
2024-01-04,11,539.95
2024-01-04,12,602.95
2024-01-04,13,602.95
2024-01-04,14,602.95
2024-01-04,15,602.95
2024-01-04,16,602.95
2024-01-04,17,602.95
2024-01-04,18,602.95
2024-01-04,19,602.95
2024-01-04,20,602.95
2024-01-04,21,602.95
2024-01-04,22,602.95
2024-01-04,23,602.95
2024-01-04,24,550.88
2024-01-05,1,609.5
2024-01-05,2,609.5
2024-01-05,3,609.5
2024-01-05,4,609.5
2024-01-05,5,609.5
2024-01-05,6,609.5
2024-01-05,7,609.5
2024-01-05,8,609.5
2024-01-05,9,609.5
2024-01-05,10,609.5
2024-01-05,11,609.5
2024-01-05,12,614.5
2024-01-05,13,614.5
2024-01-05,14,614.5
2024-01-05,15,624.47
2024-01-05,16,624.47
2024-01-05,17,649.5
2024-01-05,18,649.5
